claim_id,source_id,claim_text,claim_type,evidence_location,date_scope,jurisdiction,confidence,corroboration_status,legal_authority_status,product_implication,review_notes
C011,S011,Similarly the limitation of Paid up capital & turnover presently applicable for OPCs (paid up share capital of fifty lakhs rupees and average annual turnover during the relevant period of two crore rupees) is being done,OPINION,comment 122504585,2026-07-16,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C012,S012,Three practical points that frequently get overlooked in the 1 April 2026 transition.,OPINION,comment 122504602,2026-07-18,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C013,S013,The article covers the basics well. A few practical additions from the field: ITR-1 vs ITR-2 confusion: The most common mistake is salaried employees with any mutual fund or equity sale filing ITR-1.,OPINION,comment 122504601,2026-07-18,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C014,S014,Good analysis of the Golden Traders ruling.,OPINION,comment 122504600,2026-07-18,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C015,S015,"In the Article, it is written, “Please note that the meeting of creditors can be dispensed/done with if written consented affidavits are received from creditors to the extent of ninety percent (90%) of value.” Please pro",OPINION,comment 122504650,2026-07-21,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C016,S016,Worth being specific about the practical impact here.,OPINION,comment 122504755,2026-08-04,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C017,S017,"The Budget 2026 changes to Section 139(8A) removed two restrictions on ITR-U, but a common confusion is when to choose ITR-U vs a belated return.",LEGAL_CLAIM,comment 122504753,2026-08-04,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
C018,S018,"A few practical points on how TDS changed under the Income Tax Act, 2025 for the first quarter return.",OPINION,comment 122504751,2026-08-04,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C019,S019,"THREE DIFFERENT ROUTES , NOT JUST ONE: Late filing has three different routes depending on timing: BELATED RETURN (Section 139(4)): For those who missed July 31, this is available until December 31, 2026.",OPINION,comment 122504746,2026-08-04,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C020,S020,"This is one of the most misunderstood provisions, so useful clarification: SECTION 234F TRIGGER POINT: Section 234F applies to the ACT OF LATE FILING of the return of income.",OPINION,comment 122504745,2026-08-04,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C021,S021,The ITAT Jaipur ruling restates a principle that assessment officers routinely ignore.,OPINION,comment 122504775,2026-08-05,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C022,S022,This ruling enforces a principle that GST adjudication routinely ignores.,OPINION,comment 122504774,2026-08-05,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C023,S023,The Delhi HC decision is an important practical reminder for anyone who has missed a demand order because the notice was allegedly not received.,LEGAL_CLAIM,comment 122504773,2026-08-05,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
C024,S024,The ITAT Surat ruling addresses a technically important point about how TDS provisions interact.,OPINION,comment 122504771,2026-08-05,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C025,S025,"Practical addition: the notice section numbering has changed under the Income Tax Act 2025, which is causing confusion for both taxpayers and some practitioners.",OPINION,comment 122504763,2026-08-05,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C026,S026,"Good update. A few practical points for companies and practitioners preparing to use this window: Forms eligible under CCFS-2026 that are commonly missed: AOC-4 (and AOC-4 XBRL), MGT-7/MGT-7A, ADT-1, DIR-12, and INC-22.",OPINION,comment 122504783,2026-08-06,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C027,S027,"(TaxGuru – NO link, NO brand, pure professional insight) Timely article given that many salaried employees are discovering AIS discrepancies after ITR filing this month.",LEGAL_CLAIM,comment 122504781,2026-08-06,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
C028,S028,Good case to flag for practitioners. A few operational notes on using this precedent: The restoration of GST registration on medical grounds falls under the revocation of cancellation route (Section 30 of CGST Act) but i,OPINION,comment 122504778,2026-08-06,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C029,S029,Proceedings under section 129 and 130 are totally confusing.,OPINION,comment 122504804,2026-08-09,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C030,S030,"I refer to matter relating to HINDUSTAN COCA COLA HOLDINGS PRIVATE LIMITED In the order it is mentioned that the Section 42(10) of the Companies Act, 2013, which provides that where a company makes an offer or accepts mo",QUESTION,comment 122504809,2026-08-10,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C031,S031,"With July 31 passed, the choice between Section 139(4) and 139(8A) depends on what you are trying to do.",LEGAL_CLAIM,comment 122504811,2026-08-11,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
C032,S032,"Financial Statement of F Y 2020-21, audited in January 2026.",OPINION,comment 122504840,2026-08-12,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C033,S033,"Very clear walkthrough. One transition nuance worth flagging: existing lower-deduction certificates issued under Section 197 of the 1961 Act remain valid for payments from April 1, 2026 without reissuance, provided they",LEGAL_CLAIM,comment 122504838,2026-08-12,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
C034,S034,According to my view AGM should be held within the due date as prescribed by law.,OPINION,comment 122504828,2026-08-12,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C035,S035,"Where (Companies Act or Rules or Notification), it is specifically mentioned that ADT-1 is to be filed in relation to appointment of First Auditors by the Board of Directors?",QUESTION,comment 122504852,2026-08-13,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C036,S036,Insightful judgment on Section 129 of the CGST Act.,OPINION,comment 122504876,2026-08-17,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C037,S037,"Hi sir, We have not done any AGM till now from FY 2019 -20 What are consequences and penalty for the same Pvt Ltd company with two directors Company Stike off in FY 2017 – 18.Not active till now All balance sheet audited",OPINION,comment 122504890,2026-08-18,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C038,S038,Two points practitioners often miss when advising clients on the proposed Section 148 amendments: APPLICABILITY THRESHOLD STILL GOVERNS The expanded CFO/WTD/MD accountability provisions apply only to companies already su,OPINION,comment 122504883,2026-08-18,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C039,S039,The ruling is significant and has immediate practical application.,OPINION,comment 122504881,2026-08-18,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C040,S040,A few practical points on what changed and what stayed the same for individuals under the new Act.,OPINION,comment 122504900,2026-08-19,IN,LOW,SINGLE_SOURCE,NOT_A_LEGAL_CLAIM,interview prompt only,
C041,S041,Adding a few upcoming August 2026 deadlines that are commonly overlooked in busy compliance months.,LEGAL_CLAIM,comment 122504899,2026-08-19,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
C042,S042,"Professional comment (NO Tax Garden link/brand , TaxGuru rule).",LEGAL_CLAIM,comment 122504896,2026-08-19,IN,LOW,SINGLE_SOURCE,REQUIRES_OFFICIAL_VERIFICATION,interview prompt only,asserts a duty or date a reader might rely on
