signal_id,source_id,platform,topic,problem_summary,workaround,engagement_if_available,role_if_stated,anonymization_status,verification_status
G027,S027,taxguru.in,deadline_and_due_date|form_filing|small_company_thresholds|portal_or_process,"(TaxGuru – NO link, NO brand, pure professional insight) Timely article given that many salaried employees are discovering AIS discrepancies after ITR filing th",,,,PSEUDONYMISED,UNVERIFIED
G028,S028,taxguru.in,unclassified,Good case to flag for practitioners. A few operational notes on using this precedent: The restoration of GST registration on medical grounds falls under the rev,,,,PSEUDONYMISED,UNVERIFIED
G029,S029,taxguru.in,small_company_thresholds,Proceedings under section 129 and 130 are totally confusing.,,,,PSEUDONYMISED,UNVERIFIED
G030,S030,taxguru.in,penalty_and_default|amendment_or_change|small_company_thresholds|meetings_and_governance,"I refer to matter relating to HINDUSTAN COCA COLA HOLDINGS PRIVATE LIMITED In the order it is mentioned that the Section 42(10) of the Companies Act, 2013, whic",,,,PSEUDONYMISED,UNVERIFIED
G031,S031,taxguru.in,deadline_and_due_date|amendment_or_change,"With July 31 passed, the choice between Section 139(4) and 139(8A) depends on what you are trying to do.",,,,PSEUDONYMISED,UNVERIFIED
G032,S032,taxguru.in,audit_and_auditor|meetings_and_governance,"Financial Statement of F Y 2020-21, audited in January 2026.",,,,PSEUDONYMISED,UNVERIFIED
G033,S033,taxguru.in,form_filing,Very clear walkthrough. One transition nuance worth flagging: existing lower-deduction certificates issued under Section 197 of the 1961 Act remain valid for pa,,,,PSEUDONYMISED,UNVERIFIED
G034,S034,taxguru.in,deadline_and_due_date|penalty_and_default|meetings_and_governance,According to my view AGM should be held within the due date as prescribed by law.,,,,PSEUDONYMISED,UNVERIFIED
G035,S035,taxguru.in,form_filing|audit_and_auditor|meetings_and_governance,"Where (Companies Act or Rules or Notification), it is specifically mentioned that ADT-1 is to be filed in relation to appointment of First Auditors by the Board",,,,PSEUDONYMISED,UNVERIFIED
G036,S036,taxguru.in,penalty_and_default,Insightful judgment on Section 129 of the CGST Act.,,,,PSEUDONYMISED,UNVERIFIED
G037,S037,taxguru.in,penalty_and_default|audit_and_auditor|meetings_and_governance,"Hi sir, We have not done any AGM till now from FY 2019 -20 What are consequences and penalty for the same Pvt Ltd company with two directors Company Stike off i",,,,PSEUDONYMISED,UNVERIFIED
G038,S038,taxguru.in,penalty_and_default|amendment_or_change|small_company_thresholds|audit_and_auditor|meetings_and_governance,Two points practitioners often miss when advising clients on the proposed Section 148 amendments: APPLICABILITY THRESHOLD STILL GOVERNS The expanded CFO/WTD/MD,,,,PSEUDONYMISED,UNVERIFIED
G039,S039,taxguru.in,portal_or_process,The ruling is significant and has immediate practical application.,,,,PSEUDONYMISED,UNVERIFIED
G040,S040,taxguru.in,amendment_or_change|small_company_thresholds,A few practical points on what changed and what stayed the same for individuals under the new Act.,,,,PSEUDONYMISED,UNVERIFIED
G041,S041,taxguru.in,deadline_and_due_date|form_filing|amendment_or_change|small_company_thresholds|audit_and_auditor,Adding a few upcoming August 2026 deadlines that are commonly overlooked in busy compliance months.,,,,PSEUDONYMISED,UNVERIFIED
G042,S042,taxguru.in,deadline_and_due_date|form_filing|penalty_and_default|small_company_thresholds|audit_and_auditor|meetings_and_governance|portal_or_process,"Professional comment (NO Tax Garden link/brand , TaxGuru rule).",,,,PSEUDONYMISED,UNVERIFIED
