source_id,source_type,platform,title_or_subject,publisher_or_author,source_url,publication_date,access_date,jurisdiction,authority_level,access_status,summary,limitations,review_status
S012,PRACTITIONER_COMMENT,taxguru.in,comment on post 1031657,A10,https://taxguru.in/?p=1031657#comment-122504602,2026-07-18,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Three practical points that frequently get overlooked in the 1 April 2026 transition.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S013,PRACTITIONER_COMMENT,taxguru.in,comment on post 1059076,A10,https://taxguru.in/?p=1059076#comment-122504601,2026-07-18,2026-08-19,IN,E_ANECDOTAL,PUBLIC,The article covers the basics well. A few practical additions from the field: ITR-1 vs ITR-2 confusion: The most common mistake is salaried employees with any mutual fund or equity sale filing ITR-1.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S014,PRACTITIONER_COMMENT,taxguru.in,comment on post 1059059,A10,https://taxguru.in/?p=1059059#comment-122504600,2026-07-18,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Good analysis of the Golden Traders ruling.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S015,PRACTITIONER_COMMENT,taxguru.in,comment on post 879277,A06,https://taxguru.in/?p=879277#comment-122504650,2026-07-21,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"In the Article, it is written, “Please note that the meeting of creditors can be dispensed/done with if written consented affidavits are received from creditors to the extent of ninety percent (90%) of value.” Please pro",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S016,PRACTITIONER_COMMENT,taxguru.in,comment on post 62373,A10,https://taxguru.in/?p=62373#comment-122504755,2026-08-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Worth being specific about the practical impact here.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S017,PRACTITIONER_COMMENT,taxguru.in,comment on post 805915,A10,https://taxguru.in/?p=805915#comment-122504753,2026-08-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"The Budget 2026 changes to Section 139(8A) removed two restrictions on ITR-U, but a common confusion is when to choose ITR-U vs a belated return.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S018,PRACTITIONER_COMMENT,taxguru.in,comment on post 1048866,A10,https://taxguru.in/?p=1048866#comment-122504751,2026-08-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"A few practical points on how TDS changed under the Income Tax Act, 2025 for the first quarter return.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S019,PRACTITIONER_COMMENT,taxguru.in,comment on post 1003747,A10,https://taxguru.in/?p=1003747#comment-122504746,2026-08-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"THREE DIFFERENT ROUTES , NOT JUST ONE: Late filing has three different routes depending on timing: BELATED RETURN (Section 139(4)): For those who missed July 31, this is available until December 31, 2026.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S020,PRACTITIONER_COMMENT,taxguru.in,comment on post 845713,A10,https://taxguru.in/?p=845713#comment-122504745,2026-08-04,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"This is one of the most misunderstood provisions, so useful clarification: SECTION 234F TRIGGER POINT: Section 234F applies to the ACT OF LATE FILING of the return of income.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S021,PRACTITIONER_COMMENT,taxguru.in,comment on post 1065314,A10,https://taxguru.in/?p=1065314#comment-122504775,2026-08-05,2026-08-19,IN,E_ANECDOTAL,PUBLIC,The ITAT Jaipur ruling restates a principle that assessment officers routinely ignore.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S022,PRACTITIONER_COMMENT,taxguru.in,comment on post 1065194,A10,https://taxguru.in/?p=1065194#comment-122504774,2026-08-05,2026-08-19,IN,E_ANECDOTAL,PUBLIC,This ruling enforces a principle that GST adjudication routinely ignores.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S023,PRACTITIONER_COMMENT,taxguru.in,comment on post 1065180,A10,https://taxguru.in/?p=1065180#comment-122504773,2026-08-05,2026-08-19,IN,E_ANECDOTAL,PUBLIC,The Delhi HC decision is an important practical reminder for anyone who has missed a demand order because the notice was allegedly not received.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S024,PRACTITIONER_COMMENT,taxguru.in,comment on post 1065300,A10,https://taxguru.in/?p=1065300#comment-122504771,2026-08-05,2026-08-19,IN,E_ANECDOTAL,PUBLIC,The ITAT Surat ruling addresses a technically important point about how TDS provisions interact.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S025,PRACTITIONER_COMMENT,taxguru.in,comment on post 1038439,A10,https://taxguru.in/?p=1038439#comment-122504763,2026-08-05,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Practical addition: the notice section numbering has changed under the Income Tax Act 2025, which is causing confusion for both taxpayers and some practitioners.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S026,PRACTITIONER_COMMENT,taxguru.in,comment on post 1060597,A10,https://taxguru.in/?p=1060597#comment-122504783,2026-08-06,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Good update. A few practical points for companies and practitioners preparing to use this window: Forms eligible under CCFS-2026 that are commonly missed: AOC-4 (and AOC-4 XBRL), MGT-7/MGT-7A, ADT-1, DIR-12, and INC-22.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S027,PRACTITIONER_COMMENT,taxguru.in,comment on post 956796,A10,https://taxguru.in/?p=956796#comment-122504781,2026-08-06,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"(TaxGuru – NO link, NO brand, pure professional insight) Timely article given that many salaried employees are discovering AIS discrepancies after ITR filing this month.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S028,PRACTITIONER_COMMENT,taxguru.in,comment on post 1013053,A10,https://taxguru.in/?p=1013053#comment-122504778,2026-08-06,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Good case to flag for practitioners. A few operational notes on using this precedent: The restoration of GST registration on medical grounds falls under the revocation of cancellation route (Section 30 of CGST Act) but i,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S029,PRACTITIONER_COMMENT,taxguru.in,comment on post 1019412,A14,https://taxguru.in/?p=1019412#comment-122504804,2026-08-09,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Proceedings under section 129 and 130 are totally confusing.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S030,PRACTITIONER_COMMENT,taxguru.in,comment on post 1066288,A07,https://taxguru.in/?p=1066288#comment-122504809,2026-08-10,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"I refer to matter relating to HINDUSTAN COCA COLA HOLDINGS PRIVATE LIMITED In the order it is mentioned that the Section 42(10) of the Companies Act, 2013, which provides that where a company makes an offer or accepts mo",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S031,PRACTITIONER_COMMENT,taxguru.in,comment on post 1012592,A10,https://taxguru.in/?p=1012592#comment-122504811,2026-08-11,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"With July 31 passed, the choice between Section 139(4) and 139(8A) depends on what you are trying to do.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S032,PRACTITIONER_COMMENT,taxguru.in,comment on post 599878,A09,https://taxguru.in/?p=599878#comment-122504840,2026-08-12,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Financial Statement of F Y 2020-21, audited in January 2026.",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S033,PRACTITIONER_COMMENT,taxguru.in,comment on post 1055348,A10,https://taxguru.in/?p=1055348#comment-122504838,2026-08-12,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Very clear walkthrough. One transition nuance worth flagging: existing lower-deduction certificates issued under Section 197 of the 1961 Act remain valid for payments from April 1, 2026 without reissuance, provided they",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S034,PRACTITIONER_COMMENT,taxguru.in,comment on post 808339,A09,https://taxguru.in/?p=808339#comment-122504828,2026-08-12,2026-08-19,IN,E_ANECDOTAL,PUBLIC,According to my view AGM should be held within the due date as prescribed by law.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S035,PRACTITIONER_COMMENT,taxguru.in,comment on post 967018,A11,https://taxguru.in/?p=967018#comment-122504852,2026-08-13,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Where (Companies Act or Rules or Notification), it is specifically mentioned that ADT-1 is to be filed in relation to appointment of First Auditors by the Board of Directors?",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S036,PRACTITIONER_COMMENT,taxguru.in,comment on post 1069877,A03,https://taxguru.in/?p=1069877#comment-122504876,2026-08-17,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Insightful judgment on Section 129 of the CGST Act.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S037,PRACTITIONER_COMMENT,taxguru.in,comment on post 808339,A12,https://taxguru.in/?p=808339#comment-122504890,2026-08-18,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Hi sir, We have not done any AGM till now from FY 2019 -20 What are consequences and penalty for the same Pvt Ltd company with two directors Company Stike off in FY 2017 – 18.Not active till now All balance sheet audited",single public comment; role not verified; no sample; not legal authority,EXTRACTED
S038,PRACTITIONER_COMMENT,taxguru.in,comment on post 1037969,A10,https://taxguru.in/?p=1037969#comment-122504883,2026-08-18,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Two points practitioners often miss when advising clients on the proposed Section 148 amendments: APPLICABILITY THRESHOLD STILL GOVERNS The expanded CFO/WTD/MD accountability provisions apply only to companies already su,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S039,PRACTITIONER_COMMENT,taxguru.in,comment on post 861389,A10,https://taxguru.in/?p=861389#comment-122504881,2026-08-18,2026-08-19,IN,E_ANECDOTAL,PUBLIC,The ruling is significant and has immediate practical application.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S040,PRACTITIONER_COMMENT,taxguru.in,comment on post 1031693,A10,https://taxguru.in/?p=1031693#comment-122504900,2026-08-19,2026-08-19,IN,E_ANECDOTAL,PUBLIC,A few practical points on what changed and what stayed the same for individuals under the new Act.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S041,PRACTITIONER_COMMENT,taxguru.in,comment on post 648992,A10,https://taxguru.in/?p=648992#comment-122504899,2026-08-19,2026-08-19,IN,E_ANECDOTAL,PUBLIC,Adding a few upcoming August 2026 deadlines that are commonly overlooked in busy compliance months.,single public comment; role not verified; no sample; not legal authority,EXTRACTED
S042,PRACTITIONER_COMMENT,taxguru.in,comment on post 893065,A10,https://taxguru.in/?p=893065#comment-122504896,2026-08-19,2026-08-19,IN,E_ANECDOTAL,PUBLIC,"Professional comment (NO Tax Garden link/brand , TaxGuru rule).",single public comment; role not verified; no sample; not legal authority,EXTRACTED
